ASMID,SPECIES,STRAIN,BIOPROJECT,NCBI_TAXONID,BUSCO_LINEAGE,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES,LOCUSTAG
GCA_030571335.1_ASM3057133v1,Magnusiomyces capitatus,CBS 162.80,PRJNA736342,1095183,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces capitatus,FC6FAB35
GCA_900497725.1_magCapA,Magnusiomyces capitatus NRRL Y-17686,,PRJEB27745,1294685,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces capitatus,FDFE77FF
GCA_051013725.1_UNIVR_Mcla_1.0,Magnusiomyces clavatus,7417019402,PRJNA1220052,2496157,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces clavatus,F4B26740
GCA_000817185.1_Sc12647,Magnusiomyces clavatus CNRMA 12.647,CNRMA 12.647,PRJEB4367,1449804,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces clavatus,F42A1AC1
GCA_900654225.1_sapFunA,Magnusiomyces fungicola,,PRJEB30635,1734004,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces fungicola,FD12490F
GCA_900497715.1_magIngA,Magnusiomyces ingens NRRL Y-17630,,PRJEB27746,1294639,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces ingens,F6300392
GCA_030570155.1_ASM3057015v1,Magnusiomyces magnusii,NRRL Y-17563,PRJNA736342,43963,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces magnusii,F85DF490
GCF_902498895.1_sapIngB,Magnusiomyces paraingens,CBS 517.90,PRJEB33997,2606893,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces paraingens,F54695FC
GCA_029678045.1_ASM2967804v1,Magnusiomyces sp. LA-1,LA-1,PRJNA905355,3119571,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces sp. LA-1,F5EB7DFF
GCA_030578655.1_ASM3057865v1,Magnusiomyces starmeri,NRRL Y-17816,PRJNA736342,48394,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces starmeri,F706C013
GCA_900642975.1_sapSuaA,Magnusiomyces suaveolens,,PRJEB28673,44074,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces suaveolens,F67B6853
GCA_030578715.1_ASM3057871v1,Magnusiomyces tetraspermus,NRRL Y-7288,PRJNA736342,1232584,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces tetraspermus,F8CCA3B9
GCA_003708635.2_ASM370863v2,Magnusiomyces tetraspermus NRRL Y-7288,NRRL Y-7288,PRJNA429441,1294638,dikarya,Ascomycota,,Dipodascomycetes,,Dipodascales,Dipodascaceae,Magnusiomyces,Magnusiomyces tetraspermus,F49AB0BC
GCA_029542905.1_ASM2954290v1,Malassezia arunalokei,CBS 13387,PRJNA752394,1514897,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia arunalokei,F8099293
GCA_029542985.1_ASM2954298v1,Malassezia brasiliensis,CBS 14135,PRJNA832768,1821822,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia brasiliensis,FEE93E0E
GCA_029542885.1_ASM2954288v1,Malassezia caprae,CBS 10434,PRJNA834018,1381934,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia caprae,FFE7D79D
GCA_029542805.1_ASM2954280v1,Malassezia cuniculi,CBS 11721,PRJNA832318,948313,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia cuniculi,FC844AAA
GCA_001600775.1_JCM_11348_assembly_v001,Malassezia dermatis,JCM 11348,PRJDB3556;PRJDB3732,169489,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia dermatis,FA6CEA49
GCA_029542865.1_ASM2954286v1,Malassezia equina,CBS 12830,PRJNA885787,1381935,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia equina,FC6DE520
GCA_009938135.1_ASM993813v1,Malassezia furfur,CBS14141,PRJNA590853,55194,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia furfur,F6181437
GCA_001264795.1_ASM126479v1,Malassezia globosa,CBS 7990,PRJNA286710,76773,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,F13F4723
GCF_000181695.2_ASM18169v2,Malassezia globosa CBS 7966,CBS 7966,PRJNA18719,425265,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia globosa,F1479337
GCF_029542785.1_ASM2954278v1,Malassezia japonica,CBS 9431,PRJNA832271,223818,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia japonica,F2B706F2
GCA_029542845.1_ASM2954284v1,Malassezia nana,CBS 9557,PRJNA832426,180528,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia nana,F0523D30
GCA_029542945.1_ASM2954294v1,Malassezia obtusa,CBS 7876,PRJNA831671,76774,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia obtusa,FDAD0CA8
GCF_001278385.1_MalaPachy,Malassezia pachydermatis,CBS 1879,PRJNA288787,77020,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia pachydermatis,F6D3C54C
GCA_029542765.1_ASM2954276v1,Malassezia psittaci,CBS 14136,PRJNA832769,1821823,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia psittaci,FECD90A3
GCF_003290485.1_ASM329048v1,Malassezia restricta,KCTC 27527,PRJNA477735,76775,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,FB90E81B
GCA_000169275.1_ASM16927v1,Malassezia restricta CBS 7877,CBS 7877,PRJNA18721,425264,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia restricta,FF4BF38A
GCA_010577765.1_ASM1057776v1,Malassezia slooffiae,CBS 7956,PRJNA509412,76776,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia slooffiae,F8993BA4
GCA_004026415.1_ASM402641v1,Malassezia sp.,S2_018_000R1,PRJNA471744,2011732,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp.,F8A09998
GCA_051911445.1_ASM5191144v1,Malassezia sp. 25MD0131,25MD0131,PRJNA1279124,3440527,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp. 25MD0131,F053B7B5
GCA_029542825.1_ASM2954282v1,Malassezia sp. CBS 17886,CBS 17886,PRJNA940493,3031751,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia sp. CBS 17886,FE3647AB
GCA_001264705.1_ASM126470v1,Malassezia sympodialis,ATCC 96806,PRJNA286710,76777,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia sympodialis,FC303BC8
GCF_000349305.1_ASM34930v2,Malassezia sympodialis ATCC 42132,ATCC 42132,PRJEB417,1230383,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia sympodialis,F35B41C2
GCF_029542925.1_ASM2954292v1,Malassezia vespertilionis,CBS 15041,PRJNA833070,2020962,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia vespertilionis,F8C2ACBB
GCA_029542965.1_ASM2954296v1,Malassezia yamatoensis,CBS 9725,PRJNA831451,253288,dikarya,Basidiomycota,,Malasseziomycetes,,Malasseziales,Malasseziaceae,Malassezia,Malassezia yamatoensis,F9A95701
GCA_018606675.1_ASM1860667v1,Malasseziomycetes sp.,bin8,PRJNA174530,2065442,dikarya,Basidiomycota,,Malasseziomycetes,,,,,Malasseziomycetes sp.,FB953FC1
GCA_041956615.1_Malci1,Malbranchea cinnamomea,CBS 343.55,PRJNA1064969,5041,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Malbrancheaceae,Malbranchea,Malbranchea cinnamomea,F3BFCD7A
GCA_039700045.1_ASM3970004v1,Malbranchea zuffiana,CBS 219.58,PRJNA934263,33186,dikarya,Ascomycota,,Eurotiomycetes,,Onygenales,Malbrancheaceae,Malbranchea,Malbranchea zuffiana,F544F0B4
GCA_043258105.1_ASM4325810v1,Mallocybe terrigena,MR00339,PRJNA1048439,239109,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Inocybaceae,Mallocybe,Mallocybe terrigena,F6D4B9D4
GCA_040437605.1_USDA_MceGH76_1.0,Marasmius crinis-equi,GH-76,PRJNA1076173,585013,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Marasmius,Marasmius crinis-equi,FE062D70
GCA_014904975.1_Marfi1,Marasmius fiardii PR-910,PR-910,PRJNA200608,1328756,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Marasmius,Marasmius fiardii,F8C1639E
GCF_018924745.1_UU_Maror_2,Marasmius oreades,03SP1,PRJNA525964,181124,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Marasmius,Marasmius oreades,F198D74C
GCA_024721195.1_ASM2472119v1,Marasmius sp. AFHP31,AFHP31,PRJNA860982,3065222,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Marasmius,Marasmius sp. AFHP31,F06EEEA5
GCA_029532415.1_USDA_Mten_1.0,Marasmius tenuissimus,GH-37,PRJNA927040,585030,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Marasmiaceae,Marasmius,Marasmius tenuissimus,F282D371
GCA_040802305.1_ASM4080230v1,Marcelleina donadinii,RM2391-2016,PRJNA994929,3120040,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Pezizaceae,Marcelleina,Marcelleina donadinii,FF2CB73C
GCA_007644065.1_ASM764406v1,Margaritispora aquatica,NNIBRFG339,PRJNA553645,359797,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Discinellaceae,Margaritispora,Margaritispora aquatica,FFF662BE
GCA_930272665.1_Mariannaea_elegans_NBRC102301_genome,Mariannaea elegans,NBRC102301,PRJEB50709,509241,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Mariannaea,Mariannaea elegans,F683DD91
GCA_024336345.1_MarPMI226,Mariannaea sp. PMI_226,PMI_226,PRJNA340810,1896173,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Mariannaea,Mariannaea sp. PMI_226,FF91F66B
GCA_048569445.1_ASM4856944v1,Marquandomyces marquandii,BS48,PRJNA1215054,64636,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Marquandomyces,Marquandomyces marquandii,F2B3F7A0
GCA_046580505.1_ASM4658050v1,Marssonina zanthoxyli,PL-2024a,PRJNA1060495,3114035,dikarya,Ascomycota,,Leotiomycetes,,Helotiales,Dermateaceae,Marssonina,Marssonina zanthoxyli,F1648981
GCA_025201845.1_Marpt1,Martensiomyces pterosporus,CBS 209.56,PRJNA251778,61414,fungi,Zoopagomycota,,Kickxellomycetes,,Kickxellales,Kickxellaceae,Martensiomyces,Martensiomyces pterosporus,FE0E32D4
GCA_030564585.1_ASM3056458v1,Martiniozyma abietophila,NRRL Y-11514,PRJNA736342,324742,dikarya,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Martiniozyma,Martiniozyma abietophila,F61C7093
GCA_037044635.1_ASM3704463v1,Martiniozyma asiatica,MA-8,PRJDB9099,148097,dikarya,Ascomycota,,Pichiomycetes,,Pichiales,Pichiaceae,Martiniozyma,Martiniozyma asiatica,F8EB8813
GCA_965645245.1_glMasCarn1.1,Massalongia carnosa,,PRJEB40665;PRJEB43510;PRJEB43743;PRJEB43745;PRJEB85653;PRJEB94308;PRJNA533106,161978,dikarya,Ascomycota,,Lecanoromycetes,,Peltigerales,Massalongiaceae,Massalongia,Massalongia carnosa,F7C862B8
GCA_010093635.1_Maseb1,Massarina eburnea CBS 473.64,CBS 473.64,PRJNA217519,1395130,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Massarinaceae,Massarina,Massarina eburnea,F1823ED8
GCA_011032825.1_Masph1,Massariosphaeria phaeospora,CBS 611.86,PRJNA333966,100035,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,,Massariosphaeria,Massariosphaeria phaeospora,F0530086
GCA_022478985.1_UCR_MCPNR19_1.0,Massospora cicadina,MCPNR19,PRJNA795459,348617,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Entomophthoraceae,Massospora,Massospora cicadina,FCF75579
GCA_006912095.1_Mplat_NP02_megahit,Massospora platypediae,,PRJNA474587,2213018,fungi,Zoopagomycota,,Entomophthoromycetes,,Entomophthorales,Entomophthoraceae,Massospora,Massospora platypediae,F5CD90C7
GCA_040803075.1_ASM4080307v1,Maublancomyces accumbens,ACD0615,PRJNA994929,3049824,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces accumbens,F162A3E2
GCA_040803865.1_ASM4080386v1,Maublancomyces americanigigas,MICH352016,PRJNA994929,2944586,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces americanigigas,FFCA65B1
GCA_040802895.1_ASM4080289v1,Maublancomyces geogenius,ACD0625,PRJNA994929,3063980,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces geogenius,F22385DF
GCA_040803005.1_ASM4080300v1,Maublancomyces gigas,ACD0604,PRJNA994929,1032678,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces gigas,FD8E7D5E
GCA_040804015.1_ASM4080401v1,Maublancomyces korfii,MICH352062,PRJNA994929,1385991,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces korfii,F928227F
GCA_040803345.1_ASM4080334v1,Maublancomyces larryi,FLAS-F-61941,PRJNA994929,3063981,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces larryi,F68339DD
GCA_040804115.1_ASM4080411v1,Maublancomyces montanus,MICH352043,PRJNA994929,44622,dikarya,Ascomycota,,Pezizomycetes,,Pezizales,Discinaceae,Maublancomyces,Maublancomyces montanus,F5AFAD6E
GCF_903064755.1_KABA2,Maudiozyma barnettii,CLIB 1767,PRJEB35206,61262,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma barnettii,F83EA1F7
GCA_031590215.1_ASM3159021v1,Maudiozyma bulderi,CBS 8638,PRJNA929900,112263,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma bulderi,F7A55D0E
GCA_965637245.1_MEVUBH001C1_assembly,Maudiozyma exigua,VUB-H001 C1,PRJEB89506,34358,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma exigua,F106781A
GCA_037102785.1_ASM3710278v1,Maudiozyma humilis,KH-74,PRJDB9099,51915,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma humilis,F95A8485
GCA_030579215.1_ASM3057921v1,Maudiozyma pseudohumilis,CBS 11404,PRJNA736342,640839,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma pseudohumilis,F4EF0EB8
GCA_900180425.1_ASM90018042v1,Maudiozyma saulgeensis,,PRJEB20516,1789683,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma saulgeensis,FB81430F
GCA_030571355.1_ASM3057135v1,Maudiozyma serrabonitensis,UFMG-CM-Y273,PRJNA736342,1392788,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma serrabonitensis,F6A6B52E
GCA_003708545.1_ASM370854v1,Maudiozyma turicensis,NRRL Y-48834,PRJNA429441,432100,dikarya,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Maudiozyma,Maudiozyma turicensis,FE75A4C5
GCA_003313965.1_ASM331396v1,Megacollybia marginata,MG68,PRJNA454572,527531,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Porotheleaceae,Megacollybia,Megacollybia marginata,F5921132
GCA_900068915.1_Megacollybia_platyphylla-8,Megacollybia platyphylla,,PRJEB8570,182000,dikarya,Basidiomycota,,Agaricomycetes,,Agaricales,Porotheleaceae,Megacollybia,Megacollybia platyphylla,FE27046A
GCF_003144205.1_Meimi1,Meira miltonrushii,MCA 3882,PRJNA247836,1280837,dikarya,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Brachybasidiaceae,Meira,Meira miltonrushii,F7FF3227
GCA_001600355.1_JCM_18503_assembly_v001,Meira nashicola,JCM 18503,PRJDB3556;PRJDB3711,286112,dikarya,Basidiomycota,,Exobasidiomycetes,,Exobasidiales,Brachybasidiaceae,Meira,Meira nashicola,F01E0868
GCA_002157025.1_ASM215702v1,Melampsora abietis-canadensis,MEA09CAP01,PRJNA365810,526922,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora abietis-canadensis,FA824FA7
GCA_002157015.1_ASM215701v1,Melampsora aecidioides,Ma07VIC01,PRJNA366963,526923,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora aecidioides,F4E831C6
GCA_002157005.1_ASM215700v1,Melampsora allii-populina,Mlp06GRE05,PRJNA366888,242475,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora allii-populina,FE3D736F
GCA_022264835.1_Melame1,Melampsora americana,R15-033-03,PRJNA460338,2182807,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora americana,F272F6E1
GCF_000204055.1_v1.0,Melampsora larici-populina 98AG31,98AG31,PRJNA46711,747676,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora laricis-populina,F51CCC22
GCA_002157035.1_ASM215703v1,Melampsora medusae f. sp. deltoidis,Mmd05TRE539,PRJNA366080,258770,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora medusae,FDD5EB20
GCA_002157085.1_ASM215708v1,Melampsora occidentalis,Mo05Ca05,PRJNA365972,82102,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora occidentalis,F54D5299
GCA_000464645.1_Mel_pini_1.0,Melampsora pinitorqua Mpini7,Mpini7,PRJNA190833,1298852,dikarya,Basidiomycota,,Pucciniomycetes,,Pucciniales,Melampsoraceae,Melampsora,Melampsora pinitorqua,FD8C016C
GCA_964255045.1_public_SRR14722124_metabat2_bin.8,Melanelia culbersonii,,PRJEB77567,1709396,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Melanelia,Melanelia culbersonii,F68636B3
GCA_049996395.2_ASM4999639v2,Melanina gundecimermaniae,BF1,PRJNA1083337,2806501,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,,Melanina,Melanina gundecimermaniae,FE773932
GCA_049996335.1_ASM4999633v1,Melanina sp. BF6,BF6,PRJNA1083337,3127895,dikarya,Ascomycota,,Eurotiomycetes,,Chaetothyriales,,Melanina,Melanina sp. BF6,FFE0C748
GCA_019775565.1_ASM1977556v1,Melanodothis sp. VS III C KN 2,VS III C KN 2,PRJNA644637,2756246,dikarya,Ascomycota,,Dothideomycetes,,Cladosporiales,Cladosporiaceae,Melanodothis,Melanodothis sp. VS III C KN 2,F69D86DB
GCA_014904935.1_Melbro1,Melanogaster broomeanus,MBLB.BST,PRJNA234408,2655010,dikarya,Basidiomycota,,Agaricomycetes,,Boletales,Melanogastraceae,Melanogaster,Melanogaster broomeanus,F3FE520D
GCA_964256215.1_public_SRR14722173_concoct_merged.0,Melanohalea halei,,PRJEB77567,1231202,dikarya,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Melanohalea,Melanohalea halei,F5CEE8BF
GCA_010093585.1_Melpu1,Melanomma pulvis-pyrius CBS 109.77,CBS 109.77,PRJNA196087,1314802,dikarya,Ascomycota,,Dothideomycetes,,Pleosporales,Melanommataceae,Melanomma,Melanomma pulvis-pyrius,F12FB0D5
GCA_900208305.1_version_1,Melanopsichium pennsylvanicum,Mp4,PRJEB22306,63383,dikarya,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,,Melanopsichium,Melanopsichium pennsylvanicum,F95625FC
GCA_051168795.1_ASM5116879v1,Menisporopsis sp. LCM1078,LCM1078,PRJNA1110277,3139272,dikarya,Ascomycota,,Sordariomycetes,,Chaetosphaeriales,Chaetosphaeriaceae,Menisporopsis,Menisporopsis sp. LCM1078,F35DC5AD
GCA_051356775.1_Mereb1,Meredithblackwellia eburnea MCA 4105,MCA 4105,PRJNA223132,1408158,dikarya,Basidiomycota,,Microbotryomycetes,,Kriegeriales,Kriegeriaceae,Meredithblackwellia,Meredithblackwellia eburnea,F7D9855F
GCA_023677585.1_FABI_Cmer_v1,Meredithiella fracta,CBS 142645,PRJNA727071,2320247,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Meredithiella,Meredithiella fracta,F12C74E9
GCA_046563315.1_ASM4656331v1,Meredithiella norrisii,CBS 139737,PRJNA1042811,1739110,dikarya,Ascomycota,,Sordariomycetes,,Microascales,Ceratocystidaceae,Meredithiella,Meredithiella norrisii,F3027C78
GCA_027627245.1_Physisporinus_sp_VT162_reassembly_enz,Meripilus lineatus,VT162,PRJNA855382,2056292,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Meripilaceae,Meripilus,Meripilus lineatus,F4FE6DAC
GCA_036872655.1_ASM3687265v1,Meristemomyces frigidus,CCFEE 5501,PRJNA666634,1508187,dikarya,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Teratosphaeriaceae,Meristemomyces,Meristemomyces frigidus,F067C6D1
GCA_037044235.1_ASM3704423v1,Meruliopsis variegata,LH_A126,PRJNA1025352,1344059,dikarya,Basidiomycota,,Agaricomycetes,,Polyporales,Irpicaceae,Meruliopsis,Meruliopsis variegata,F64028C5
GCA_030574095.1_ASM3057409v1,Metahyphopichia silvanorum,NRRL Y-7782,PRJNA736342,52252,dikarya,Ascomycota,,Pichiomycetes,,Serinales,Debaryomycetaceae,Metahyphopichia,Metahyphopichia silvanorum,FEB16EEC
GCA_051529395.1_YNP46,Metapochonia bulbillosa,MUC34289,PRJNA1074702,73578,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metapochonia,Metapochonia bulbillosa,F94E5689
GCF_019434415.1_Coph_MacrARSEF324_H1_v1.0,Metarhizium acridum,ARSEF 324,PRJNA714114;PRJNA750079,92637,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium acridum,F374C8FE
GCF_000187405.1_MetAcr_May2010,Metarhizium acridum CQMa 102,CQMa 102,PRJNA38715,655827,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium acridum,F7FACD98
GCF_000804445.1_MAM_1.0_for_version_1_of_the_Metarhizium_album_genome,Metarhizium album ARSEF 1941,ARSEF 1941,PRJNA72731,1081103,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium album,FE60C756
GCF_039654215.1_AGRO-Manis,Metarhizium anisopliae,MEAPA 0093,PRJNA1058404,5530,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,F7EF7AC7
GCA_000426985.1_ASM42698v1,Metarhizium anisopliae BRIP 53284,BRIP 53284,PRJNA188935,1291519,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,F60B0A70
GCA_000426965.1_ASM42696v1,Metarhizium anisopliae BRIP 53293,BRIP 53293,PRJNA188933,1291518,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium anisopliae,FBC148B2
GCF_013426205.1_ASM1342620v1,Metarhizium brunneum,4556,PRJNA608152,500148,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium brunneum,F558D19F
GCF_000814965.1_MBR_1.0,Metarhizium brunneum ARSEF 3297,ARSEF 3297,PRJNA184756,1276141,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium brunneum,F8A6F060
GCA_051529335.1_YNP51,Metarhizium flavoviride,DSM 11337,PRJNA1074702,92630,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium flavoviride,F06AB886
GCA_000814955.1_MGU_1.0,Metarhizium guizhouense ARSEF 977,ARSEF 977,PRJNA184755,1276136,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium guizhouense,FB0220F5
GCA_020102295.1_ASM2010229v1,Metarhizium humberi,ESALQ1638,PRJNA639668,2596975,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium humberi,F457C632
GCA_000814975.1_MAN_1.0,Metarhizium hybridum,ARSEF 549,PRJNA184754,3151832,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium hybridum,F34A06A3
GCA_047495765.1_ASM4749576v1,Metarhizium koreanum,PCO1,PRJNA1215695,1649237,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium koreanum,F738048A
GCF_000814945.1_MAJ_1.0,Metarhizium majus ARSEF 297,ARSEF 297,PRJNA184757,1276143,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium majus,FF1A203F
GCA_049901535.1_ASM4990153v1,Metarhizium pingshaense,WP08,PRJNA1243714,1278899,dikarya,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium pingshaense,F808427B
